TEAM_NAME_HOME,TEAM_HOME_SCORE
 Zenit ,3
 Sevilla ,6
 Bayern Munich ,13
 Inter ,2
 Salzburg ,4
 Dynamo Kyiv ,1
 Olympiacos ,1
 Liverpool ,5
 Atlético Madrid ,4
 Juventus ,8
 B. M‘Gladbach ,8
 İstanbul Başakşehir ,5
 Manchester United ,10
 Lokomotiv Moscow ,3
 Shakhtar Donetsk ,2
 RB Leipzig ,7
 Rennes ,3
 Real Madrid ,14
 FC Porto ,7
 Chelsea ,8
 Ajax ,3
 PSG ,9
 Lazio ,9
 Manchester City ,15
 Krasnodar ,2
 Atalanta ,3
 Barcelona ,8
 Club Brugge ,4
 Midtjylland ,2
 Ferencváros ,3
 Borussia Dortmund ,9
 Marseille ,2
